city,neighborhood,apartment_price_sqm,villa_price_sqm,ipai_apartment,ipai_villa
fes,Agdal,7573.0,8683.0,107.4,106.2
fes,Saiss,7512.0,6503.0,107.4,106.2
fes,El Mariniyine,6715.0,,107.4,106.2
fes,Zouagha,6184.0,8624.0,107.4,106.2
fes,Oulad Tayeb,5551.0,,107.4,106.2
fes,Fes City Center,8049.0,,107.4,106.2
fes,Hay Moulay El Kamel,7712.0,,107.4,106.2
fes,Bourmana,7539.0,6107.0,107.4,106.2
fes,Mourabitine,7180.0,,107.4,106.2
fes,Riad,6911.0,9012.0,107.4,106.2
fes,Nouvelle Ville,6871.0,9370.0,107.4,106.2
fes,Hay Jdid,6404.0,,107.4,106.2
fes,Oued Fes,6341.0,,107.4,106.2
fes,Hay Al Azhar,6230.0,,107.4,106.2
fes,Hay Massira,6216.0,,107.4,106.2
fes,Fes City Center,8049.0,,107.4,106.2
fes,Hay Moulay El Kamel,7712.0,,107.4,106.2
fes,Bourmana,7539.0,6107.0,107.4,106.2
fes,Mourabitine,7180.0,,107.4,106.2
fes,Riad,6911.0,9012.0,107.4,106.2
fes,Nouvelle Ville,6871.0,9370.0,107.4,106.2
fes,Hay Jdid,6404.0,,107.4,106.2
fes,Oued Fes,6341.0,,107.4,106.2
fes,Hay Al Azhar,6230.0,,107.4,106.2
fes,Hay Massira,6216.0,,107.4,106.2
marrakech,Méchouar-Kasba,14666.0,8101.0,114.43,112.93
marrakech,Ouahat Sidi Brahim,11247.0,,114.43,112.93
marrakech,Gueliz,10508.0,10862.0,114.8,113.2
marrakech,Marrakech-Médina,9573.0,,114.43,112.93
marrakech,Alouidane,9484.0,14259.0,114.43,112.93
marrakech,Annakhil,9182.0,8038.0,114.43,112.93
marrakech,Ménara,9137.0,10249.0,114.43,112.93
marrakech,Harbil,7720.0,5547.0,114.43,112.93
marrakech,Tassoultante,6872.0,10779.0,114.43,112.93
marrakech,Saada,6130.0,8228.0,114.43,112.93
marrakech,Hivernage,17464.0,11090.0,115.6,114.1
marrakech,Tassoultante,14340.0,9986.0,114.43,112.93
marrakech,Agdal,13853.0,,114.43,112.93
marrakech,Masmoudi,13136.0,8341.0,114.43,112.93
marrakech,Guéliz,12620.0,16539.0,114.43,112.93
marrakech,Camp Al Ghoul,11982.0,13468.0,114.43,112.93
marrakech,Oliva,11323.0,,114.43,112.93
marrakech,Sidi Bou Amar,11245.0,,114.43,112.93
marrakech,Majorelle,11224.0,,114.43,112.93
marrakech,Samlalia,10854.0,12630.0,114.43,112.93
marrakech,Méchouar-Kasba,14666.0,8101.0,114.43,112.93
marrakech,Ouahat Sidi Brahim,11247.0,,114.43,112.93
marrakech,Gueliz,10508.0,10862.0,114.8,113.2
marrakech,Marrakech-Médina,9573.0,,114.43,112.93
marrakech,Alouidane,9484.0,14259.0,114.43,112.93
marrakech,Annakhil,9182.0,8038.0,114.43,112.93
marrakech,Ménara,9137.0,10249.0,114.43,112.93
marrakech,Harbil,7720.0,5547.0,114.43,112.93
marrakech,Tassoultante,6872.0,10779.0,114.43,112.93
marrakech,Saada,6130.0,8228.0,114.43,112.93
marrakech,Hivernage,17464.0,11090.0,115.6,114.1
marrakech,Tassoultante,14340.0,9986.0,114.43,112.93
marrakech,Agdal,13853.0,,114.43,112.93
marrakech,Masmoudi,13136.0,8341.0,114.43,112.93
marrakech,Guéliz,12620.0,16539.0,114.43,112.93
marrakech,Camp Al Ghoul,11982.0,13468.0,114.43,112.93
marrakech,Oliva,11323.0,,114.43,112.93
marrakech,Sidi Bou Amar,11245.0,,114.43,112.93
marrakech,Majorelle,11224.0,,114.43,112.93
marrakech,Samlalia,10854.0,12630.0,114.43,112.93
marrakech,Méchouar-Kasba,14666.0,8101.0,114.43,112.93
marrakech,Ouahat Sidi Brahim,11247.0,,114.43,112.93
marrakech,Gueliz,10508.0,10862.0,114.8,113.2
marrakech,Marrakech-Médina,9573.0,,114.43,112.93
marrakech,Alouidane,9484.0,14259.0,114.43,112.93
marrakech,Annakhil,9182.0,8038.0,114.43,112.93
marrakech,Ménara,9137.0,10249.0,114.43,112.93
marrakech,Harbil,7720.0,5547.0,114.43,112.93
marrakech,Tassoultante,6872.0,10779.0,114.43,112.93
marrakech,Saada,6130.0,8228.0,114.43,112.93
marrakech,Hivernage,17464.0,11090.0,115.6,114.1
marrakech,Tassoultante,14340.0,9986.0,114.43,112.93
marrakech,Agdal,13853.0,,114.43,112.93
marrakech,Masmoudi,13136.0,8341.0,114.43,112.93
marrakech,Guéliz,12620.0,16539.0,114.43,112.93
marrakech,Camp Al Ghoul,11982.0,13468.0,114.43,112.93
marrakech,Oliva,11323.0,,114.43,112.93
marrakech,Sidi Bou Amar,11245.0,,114.43,112.93
marrakech,Majorelle,11224.0,,114.43,112.93
marrakech,Samlalia,10854.0,12630.0,114.43,112.93
marrakech,Méchouar-Kasba,14666.0,8101.0,114.43,112.93
marrakech,Ouahat Sidi Brahim,11247.0,,114.43,112.93
marrakech,Gueliz,10508.0,10862.0,114.8,113.2
marrakech,Marrakech-Médina,9573.0,,114.43,112.93
marrakech,Alouidane,9484.0,14259.0,114.43,112.93
marrakech,Annakhil,9182.0,8038.0,114.43,112.93
marrakech,Ménara,9137.0,10249.0,114.43,112.93
marrakech,Harbil,7720.0,5547.0,114.43,112.93
marrakech,Tassoultante,6872.0,10779.0,114.43,112.93
marrakech,Saada,6130.0,8228.0,114.43,112.93
marrakech,Méchouar-Kasba,14666.0,8101.0,114.43,112.93
marrakech,Ouahat Sidi Brahim,11247.0,,114.43,112.93
marrakech,Gueliz,10508.0,10862.0,114.8,113.2
marrakech,Marrakech-Médina,9573.0,,114.43,112.93
marrakech,Alouidane,9484.0,14259.0,114.43,112.93
marrakech,Annakhil,9182.0,8038.0,114.43,112.93
marrakech,Ménara,9137.0,10249.0,114.43,112.93
marrakech,Harbil,7720.0,5547.0,114.43,112.93
marrakech,Tassoultante,6872.0,10779.0,114.43,112.93
marrakech,Saada,6130.0,8228.0,114.43,112.93
marrakech,Hivernage,17464.0,11090.0,115.6,114.1
marrakech,Tassoultante,14340.0,9986.0,114.43,112.93
marrakech,Agdal,13853.0,,114.43,112.93
marrakech,Masmoudi,13136.0,8341.0,114.43,112.93
marrakech,Guéliz,12620.0,16539.0,114.43,112.93
marrakech,Camp Al Ghoul,11982.0,13468.0,114.43,112.93
marrakech,Oliva,11323.0,,114.43,112.93
marrakech,Sidi Bou Amar,11245.0,,114.43,112.93
marrakech,Majorelle,11224.0,,114.43,112.93
marrakech,Samlalia,10854.0,12630.0,114.43,112.93
marrakech,Hivernage,17464.0,11090.0,115.6,114.1
marrakech,Tassoultante,14340.0,9986.0,114.43,112.93
marrakech,Agdal,13853.0,,114.43,112.93
marrakech,Masmoudi,13136.0,8341.0,114.43,112.93
marrakech,Guéliz,12620.0,16539.0,114.43,112.93
marrakech,Camp Al Ghoul,11982.0,13468.0,114.43,112.93
marrakech,Oliva,11323.0,,114.43,112.93
marrakech,Sidi Bou Amar,11245.0,,114.43,112.93
marrakech,Majorelle,11224.0,,114.43,112.93
marrakech,Samlalia,10854.0,12630.0,114.43,112.93
agadir,Aourir,10042.0,7167.0,107.4,106.2
agadir,Tamri,10009.0,13598.0,107.4,106.2
agadir,Taghazout,8325.0,,107.4,106.2
agadir,Drargua,7059.0,8592.0,107.4,106.2
agadir,Agadir,6857.0,10538.0,107.4,106.2
agadir,Aqesri,5754.0,,107.4,106.2
agadir,Imsouane,,10237.0,107.4,106.2
agadir,Secteur Touristique,20906.0,,107.4,106.2
agadir,Founti,18640.0,16219.0,107.4,106.2
agadir,Talborjt,12691.0,7182.0,107.4,106.2
agadir,Ville Nouvelle,12539.0,,107.4,106.2
agadir,Guéliz,12523.0,,107.4,106.2
agadir,Haut Founty,11311.0,13645.0,107.4,106.2
agadir,Hay Massira,11151.0,,107.4,106.2
agadir,Haut Anza,10647.0,,107.4,106.2
agadir,Taddart,10529.0,11734.0,107.4,106.2
agadir,Hay Najah,10387.0,10933.0,107.4,106.2
agadir,Aourir,10042.0,7167.0,107.4,106.2
agadir,Tamri,10009.0,13598.0,107.4,106.2
agadir,Taghazout,8325.0,,107.4,106.2
agadir,Drargua,7059.0,8592.0,107.4,106.2
agadir,Agadir,6857.0,10538.0,107.4,106.2
agadir,Aqesri,5754.0,,107.4,106.2
agadir,Imsouane,,10237.0,107.4,106.2
agadir,Secteur Touristique,20906.0,,107.4,106.2
agadir,Founti,18640.0,16219.0,107.4,106.2
agadir,Talborjt,12691.0,7182.0,107.4,106.2
agadir,Ville Nouvelle,12539.0,,107.4,106.2
agadir,Guéliz,12523.0,,107.4,106.2
agadir,Haut Founty,11311.0,13645.0,107.4,106.2
agadir,Hay Massira,11151.0,,107.4,106.2
agadir,Haut Anza,10647.0,,107.4,106.2
agadir,Taddart,10529.0,11734.0,107.4,106.2
agadir,Hay Najah,10387.0,10933.0,107.4,106.2
agadir,Aourir,10042.0,7167.0,107.4,106.2
agadir,Tamri,10009.0,13598.0,107.4,106.2
agadir,Taghazout,8325.0,,107.4,106.2
agadir,Drargua,7059.0,8592.0,107.4,106.2
agadir,Agadir,6857.0,10538.0,107.4,106.2
agadir,Aqesri,5754.0,,107.4,106.2
agadir,Imsouane,,10237.0,107.4,106.2
agadir,Secteur Touristique,20906.0,,107.4,106.2
agadir,Founti,18640.0,16219.0,107.4,106.2
agadir,Talborjt,12691.0,7182.0,107.4,106.2
agadir,Ville Nouvelle,12539.0,,107.4,106.2
agadir,Guéliz,12523.0,,107.4,106.2
agadir,Haut Founty,11311.0,13645.0,107.4,106.2
agadir,Hay Massira,11151.0,,107.4,106.2
agadir,Haut Anza,10647.0,,107.4,106.2
agadir,Taddart,10529.0,11734.0,107.4,106.2
agadir,Hay Najah,10387.0,10933.0,107.4,106.2
agadir,Aourir,10042.0,7167.0,107.4,106.2
agadir,Tamri,10009.0,13598.0,107.4,106.2
agadir,Taghazout,8325.0,,107.4,106.2
agadir,Drargua,7059.0,8592.0,107.4,106.2
agadir,Agadir,6857.0,10538.0,107.4,106.2
agadir,Aqesri,5754.0,,107.4,106.2
agadir,Imsouane,,10237.0,107.4,106.2
agadir,Aourir,10042.0,7167.0,107.4,106.2
agadir,Tamri,10009.0,13598.0,107.4,106.2
agadir,Taghazout,8325.0,,107.4,106.2
agadir,Drargua,7059.0,8592.0,107.4,106.2
agadir,Agadir,6857.0,10538.0,107.4,106.2
agadir,Aqesri,5754.0,,107.4,106.2
agadir,Imsouane,,10237.0,107.4,106.2
agadir,Secteur Touristique,20906.0,,107.4,106.2
agadir,Founti,18640.0,16219.0,107.4,106.2
agadir,Talborjt,12691.0,7182.0,107.4,106.2
agadir,Ville Nouvelle,12539.0,,107.4,106.2
agadir,Guéliz,12523.0,,107.4,106.2
agadir,Haut Founty,11311.0,13645.0,107.4,106.2
agadir,Hay Massira,11151.0,,107.4,106.2
agadir,Haut Anza,10647.0,,107.4,106.2
agadir,Taddart,10529.0,11734.0,107.4,106.2
agadir,Hay Najah,10387.0,10933.0,107.4,106.2
agadir,Secteur Touristique,20906.0,,107.4,106.2
agadir,Founti,18640.0,16219.0,107.4,106.2
agadir,Talborjt,12691.0,7182.0,107.4,106.2
agadir,Ville Nouvelle,12539.0,,107.4,106.2
agadir,Guéliz,12523.0,,107.4,106.2
agadir,Haut Founty,11311.0,13645.0,107.4,106.2
agadir,Hay Massira,11151.0,,107.4,106.2
agadir,Haut Anza,10647.0,,107.4,106.2
agadir,Taddart,10529.0,11734.0,107.4,106.2
agadir,Hay Najah,10387.0,10933.0,107.4,106.2
tanger,Charf-Mghogha,10676.0,8476.0,112.67,111.27
tanger,Charf-Souani,8536.0,,112.67,111.27
tanger,Assilah,8042.0,,112.67,111.27
tanger,Aquouass Briech,7995.0,,112.67,111.27
tanger,Tanger-Médina,7989.0,12850.0,112.67,111.27
tanger,HJAR ENNHAL,6714.0,13274.0,112.67,111.27
tanger,Bni Makada,6692.0,,112.67,111.27
tanger,Casabarata,17104.0,13392.0,112.67,111.27
tanger,Mghogha,14530.0,,112.67,111.27
tanger,Quartier de la plage,13844.0,,112.67,111.27
tanger,Malabata,13305.0,,113.5,112.1
tanger,Boulevard Mohammed V,13301.0,,112.67,111.27
tanger,Iberie,13187.0,,112.67,111.27
tanger,Castilla,11652.0,7616.0,112.67,111.27
tanger,Sania,11375.0,,112.67,111.27
tanger,Administratif,11136.0,,112.67,111.27
tanger,Rmilat,10991.0,22251.0,112.67,111.27
tanger,Charf-Mghogha,10676.0,8476.0,112.67,111.27
tanger,Charf-Souani,8536.0,,112.67,111.27
tanger,Assilah,8042.0,,112.67,111.27
tanger,Aquouass Briech,7995.0,,112.67,111.27
tanger,Tanger-Médina,7989.0,12850.0,112.67,111.27
tanger,HJAR ENNHAL,6714.0,13274.0,112.67,111.27
tanger,Bni Makada,6692.0,,112.67,111.27
tanger,Casabarata,17104.0,13392.0,112.67,111.27
tanger,Mghogha,14530.0,,112.67,111.27
tanger,Quartier de la plage,13844.0,,112.67,111.27
tanger,Malabata,13305.0,,113.5,112.1
tanger,Boulevard Mohammed V,13301.0,,112.67,111.27
tanger,Iberie,13187.0,,112.67,111.27
tanger,Castilla,11652.0,7616.0,112.67,111.27
tanger,Sania,11375.0,,112.67,111.27
tanger,Administratif,11136.0,,112.67,111.27
tanger,Rmilat,10991.0,22251.0,112.67,111.27
tanger,Charf-Mghogha,10676.0,8476.0,112.67,111.27
tanger,Charf-Souani,8536.0,,112.67,111.27
tanger,Assilah,8042.0,,112.67,111.27
tanger,Aquouass Briech,7995.0,,112.67,111.27
tanger,Tanger-Médina,7989.0,12850.0,112.67,111.27
tanger,HJAR ENNHAL,6714.0,13274.0,112.67,111.27
tanger,Bni Makada,6692.0,,112.67,111.27
tanger,Casabarata,17104.0,13392.0,112.67,111.27
tanger,Mghogha,14530.0,,112.67,111.27
tanger,Quartier de la plage,13844.0,,112.67,111.27
tanger,Malabata,13305.0,,113.5,112.1
tanger,Boulevard Mohammed V,13301.0,,112.67,111.27
tanger,Iberie,13187.0,,112.67,111.27
tanger,Castilla,11652.0,7616.0,112.67,111.27
tanger,Sania,11375.0,,112.67,111.27
tanger,Administratif,11136.0,,112.67,111.27
tanger,Rmilat,10991.0,22251.0,112.67,111.27
tanger,Charf-Mghogha,10676.0,8476.0,112.67,111.27
tanger,Charf-Souani,8536.0,,112.67,111.27
tanger,Assilah,8042.0,,112.67,111.27
tanger,Aquouass Briech,7995.0,,112.67,111.27
tanger,Tanger-Médina,7989.0,12850.0,112.67,111.27
tanger,HJAR ENNHAL,6714.0,13274.0,112.67,111.27
tanger,Bni Makada,6692.0,,112.67,111.27
tanger,Charf-Mghogha,10676.0,8476.0,112.67,111.27
tanger,Charf-Souani,8536.0,,112.67,111.27
tanger,Assilah,8042.0,,112.67,111.27
tanger,Aquouass Briech,7995.0,,112.67,111.27
